2026-05-27 15:16:30,450 | INFO | enter to load_from_json
2026-05-27 15:16:30,450 | INFO | enter to create shape
2026-05-27 15:16:34,748 | INFO | enter to create shape
2026-05-27 15:26:38,912 | INFO | enter to load_from_json
2026-05-27 15:26:38,912 | INFO | enter to create shape
2026-05-27 15:26:45,858 | INFO | enter to save_to_json
2026-05-27 15:26:45,859 | INFO | enter to create shape
2026-05-27 15:27:05,843 | INFO | enter to save_to_json
2026-05-27 15:39:10,548 | INFO | enter to load_from_json
2026-05-27 15:39:10,548 | INFO | enter to create shape
2026-05-27 15:39:17,377 | INFO | enter to save_to_json
2026-05-27 15:39:17,378 | INFO | enter to load_from_json
2026-05-27 15:39:17,378 | INFO | enter to create shape
2026-05-27 15:39:19,314 | INFO | enter to save_to_json
2026-05-27 15:39:19,314 | INFO | enter to load_from_json
2026-05-27 15:42:33,745 | INFO | enter to load_from_json
2026-05-27 15:42:33,746 | INFO | enter to create shape
2026-05-27 15:42:38,661 | INFO | enter to save_to_json
2026-05-27 15:42:38,661 | INFO | enter to load_from_json
2026-05-27 15:42:38,662 | INFO | enter to create shape
2026-05-27 15:42:40,835 | INFO | enter to save_to_json
2026-05-27 15:42:40,835 | INFO | enter to load_from_json
2026-05-27 15:42:57,840 | INFO | enter to load_from_json
2026-05-27 15:42:57,840 | INFO | enter to create shape
2026-05-27 15:43:00,881 | INFO | enter to save_to_json
2026-05-27 15:43:00,881 | INFO | enter to load_from_json
2026-05-27 15:43:00,881 | INFO | enter to create shape
2026-05-27 15:43:02,189 | INFO | enter to save_to_json
2026-05-27 15:43:02,189 | INFO | enter to load_from_json
2026-05-27 15:46:46,638 | INFO | enter to load_from_json
2026-05-27 15:46:46,638 | INFO | enter to create shape
2026-05-27 15:46:49,952 | INFO | enter to save_to_json
2026-05-27 15:46:49,952 | INFO | enter to load_from_json
2026-05-27 15:52:11,883 | INFO | enter to load_from_json
2026-05-27 15:52:11,883 | INFO | enter to create shape
2026-05-27 15:52:14,926 | INFO | enter to save_to_json
2026-05-27 15:52:14,926 | INFO | enter to load_from_json
2026-05-27 15:52:14,927 | INFO | enter to create shape
2026-05-27 15:55:52,848 | INFO | enter to load_from_json
2026-05-27 15:55:52,849 | INFO | enter to create shape
2026-05-27 15:55:55,080 | INFO | enter to save_to_json
2026-05-27 15:55:55,080 | INFO | enter to load_from_json
2026-05-27 15:55:55,081 | INFO | enter to create shape
2026-05-27 16:09:43,491 | INFO | enter to load_from_json
2026-05-27 16:09:43,492 | INFO | enter to create shape
2026-05-27 16:09:48,081 | INFO | enter to load_from_json
2026-05-27 16:09:48,081 | INFO | enter to load_from_json
2026-05-27 16:24:22,698 | INFO | enter to load_from_json
2026-05-27 16:24:22,698 | INFO | enter to create shape
2026-05-27 16:25:06,134 | INFO | enter to load_from_json
2026-05-27 16:25:06,134 | INFO | enter to create shape
2026-05-27 16:25:08,580 | INFO | enter to load_from_json
2026-05-27 16:25:08,580 | INFO | enter to load_from_json
2026-05-27 16:25:52,269 | INFO | enter to load_from_json
2026-05-27 16:25:52,269 | INFO | enter to create shape
2026-05-27 16:25:57,476 | INFO | enter to save_to_json
2026-05-27 16:25:57,476 | INFO | enter to load_from_json
2026-05-27 16:27:33,980 | INFO | enter to load_from_json
2026-05-27 16:27:33,981 | INFO | enter to create shape
2026-05-27 16:27:36,769 | INFO | enter to save_to_json
2026-05-27 16:27:36,769 | INFO | enter to load_from_json
2026-05-27 16:34:41,379 | INFO | enter to load_from_json
2026-05-27 16:34:41,380 | INFO | enter to create shape
2026-05-27 16:34:44,761 | INFO | enter to save_to_json
2026-05-27 16:34:44,762 | INFO | enter to create shape
2026-05-27 16:35:12,878 | INFO | enter to save_to_json
2026-05-27 16:55:27,571 | INFO | enter to load_from_json
2026-05-27 16:55:27,571 | INFO | enter to create shape
2026-05-27 16:56:06,974 | INFO | enter to load_from_json
2026-05-27 16:56:06,974 | INFO | enter to create shape
2026-05-27 16:56:10,936 | INFO | enter to save_to_json
2026-05-27 16:56:10,936 | INFO | enter to create shape
2026-05-27 16:56:13,177 | INFO | enter to save_to_json
2026-05-27 16:56:27,702 | INFO | enter to load_from_json
2026-05-27 16:56:27,703 | INFO | enter to create shape
2026-05-27 16:56:31,179 | INFO | enter to save_to_json
2026-05-27 16:56:31,179 | INFO | enter to create shape
2026-05-27 16:56:32,947 | INFO | enter to save_to_json
